fips,area_name,state_abbreviation,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,gop_pct_2016,gop_pct_2008,pct_change
8061,Kiowa County,CO,852,178,650,24,821,118,677,26,853,91,726,36,1402,1398,0.3,1398,6.4,20.5,24.1,50.8,96.6,0.7,0.9,0,0.3,1.5,6.3,91.4,92,2.7,4,92.2,20.6,83,17.2,811,72.8,5.2,79400,559,2.49,22482,40813,17.4,36,0,0,145,0,0,0,0,0,0,0,0,27022,8036,6158,0,0,1767.77,0.8,0.8511137162954279,0.7629107981220657,11.69230769230769
8063,Kit Carson County,CO,3442,912,2455,75,3525,789,2664,72,3613,526,2894,193,8072,8270,-2.4,8270,6.2,22.5,17.2,44.8,94.1,2.5,1.1,0.6,0.2,1.5,19.3,76.1,83.2,9,15.2,84,13.5,799,12.5,3514,65.8,11.2,121600,3046,2.43,21850,44157,13.8,263,1952,0.7,657,834,0,0,0,0,0,39.3,0,166345,84356,10717,10306,2,2160.82,3.8,0.8009964018820924,0.7132481115630448,17.881873727087584
8065,Lake County,CO,3002,1859,1078,65,2993,1807,1087,99,3175,1600,1264,311,7357,7310,0.6,7310,6.5,23.1,11,46.7,93.9,0.7,2.6,0.6,0.1,2.2,37.8,59.2,75.8,15,28.8,86.8,28.1,516,29.3,4273,65.6,12.2,164400,3079,2.33,25029,44610,14.3,205,1226,-1,608,796,0,0,0,0,0,26.6,0,0,51369,6540,12573,0,376.91,19.4,0.3981102362204724,0.35909393737508327,17.25417439703154
8067,La Plata County,CO,27979,16057,11503,419,28475,15063,12554,858,30722,15300,12471,2951,53989,51334,5.2,51334,5.1,19.4,14.2,49.2,89.2,0.6,6.8,0.8,0.1,2.5,12.6,79.2,79.6,3.5,9.7,94.2,41.4,3963,20.5,26475,66.5,17.9,339400,20947,2.39,30151,58080,11.4,2296,20661,8,5970,8231,0,2.2,0,0,0,25.9,0,0,790433,15914,206242,278,1692.08,30.3,0.4059306034763362,0.4111297759033561,8.415196035816752
8069,Larimer County,CO,166373,89822,73641,2910,161823,83103,74603,4117,193897,92170,82624,19103,324122,299630,8.2,299630,5.4,20.5,13.9,50.2,93.2,1.1,1,2.2,0.1,2.4,11.1,83.5,78.8,5.4,9,94.4,43.8,22809,22.6,138534,65.6,21.8,247100,121423,2.45,30740,58626,14.1,9723,112150,2,28499,34660,0.4,0.5,1.8,0,3.6,29.7,3226757,1265188,3922871,13672,604358,2498,2596,115.4,0.42612314785685185,0.44262590684786596,12.198367757091845
8071,Las Animas County,CO,6761,3562,3086,113,6532,3282,3105,145,6693,2614,3656,423,14052,15507,-9.4,15507,5.1,19,22.3,48.4,91.4,1.8,3.5,1.1,0.1,2.1,42.5,52.7,85.2,3.2,14.4,84.3,16.3,1221,21.2,8244,69.4,10.1,151500,5992,2.43,22180,42261,17.8,371,3228,-8.3,911,1558,0,0,0,0,13,25.9,0,51612,164359,10393,22369,5,4772.67,3.2,0.5462423427461527,0.45644135482916726,18.470511989630587
8073,Lincoln County,CO,2304,546,1717,41,2248,537,1663,48,2402,399,1873,130,5510,5469,0.7,5467,5.6,19.7,17.4,40.9,90.6,5.6,1.1,1,0.1,1.7,13.4,78.4,82.9,5.4,10.9,81.5,15.6,486,18.3,2427,68.3,11.5,115000,1845,2.11,19703,41910,13.7,123,1114,-1.9,392,626,0,0,0,0,0,29.4,0,0,134696,25671,8400,2,2577.63,2.1,0.779766860949209,0.7452256944444444,9.085614443797319
8075,Logan County,CO,8977,2846,6002,129,9030,2675,6124,231,9702,1843,7272,587,22524,22709,-0.8,22709,5,18.8,15.7,43.5,91.6,4.3,1.6,0.9,0.1,1.5,16.1,76.9,80.7,5.7,10.5,88.7,15.8,1999,17.1,8952,69.4,12,119800,8015,2.68,22581,40415,17.6,577,5312,1.7,1219,1396,0,0,0,0,2.9,21.9,0,0,281292,13454,23276,19,1838.55,12.4,0.7495361781076066,0.6685975270134789,21.159613462179273
8077,Mesa County,CO,69631,24008,44578,1045,69033,22448,45087,1498,74876,20958,48129,5789,148255,146723,1,146723,6.3,22.4,16.9,50.3,94.2,1,1.5,0.9,0.1,2.2,14.1,82,80.9,4.1,8.2,89.6,25.7,13870,21.2,63779,71.7,15.1,210100,58598,2.45,26700,49471,14.7,4431,49355,-1.1,11002,16079,0,0.9,0,0,4,26.7,539590,1179281,2389507,17279,268843,504,3328.97,44.1,0.6427827341204124,0.640203357699875,7.965812732738131
8079,Mineral County,CO,623,270,334,19,650,291,344,15,652,237,344,71,698,712,-2,712,4.7,12.6,26.5,47.6,97.1,0.4,0.9,0.4,0,1.1,4.4,92.8,92.3,1.1,3.2,96.5,39.3,111,14.6,1225,83.7,0,275000,393,1.85,42255,47083,6.4,66,220,7.3,151,510,0,0,0,0,0,0,0,0,6008,6239,9476,6,875.67,0.8,0.5276073619631901,0.536115569823435,2.9940119760478945
8081,Moffat County,CO,5871,1582,4135,154,6042,1291,4616,135,6510,874,5293,343,12928,13795,-6.3,13795,6.9,25.9,12.9,48.1,95.2,0.5,1.5,0.8,0.1,1.9,14.3,82.2,85.2,5.6,10.5,89.2,15.6,1193,21.8,6162,75.9,12.1,176500,5062,2.61,24577,53231,11.5,415,3527,3.5,951,0,0,0,0,0,0,0,0,73158,213043,15717,35307,9,4743.29,2.9,0.8130568356374808,0.7043093169817748,28.004836759371223
8083,Montezuma County,CO,11825,4661,6961,203,12232,4486,7372,374,12706,3920,7771,1015,25772,25535,0.9,25535,6.2,22.7,19.1,50.3,83.1,0.5,13,0.9,0.1,2.4,12.2,73.2,82,2.3,13.4,89.9,27.3,2319,22.6,11981,70.5,8.4,189400,10688,2.36,23548,43188,19.3,758,6746,0,2219,3068,0,2.1,0,0,0,31.4,0,52094,301379,12003,84913,15,2029.53,12.6,0.6116008185109397,0.5886680761099365,11.63625915816693
8085,Montrose County,CO,19153,6495,12199,459,19054,5852,12789,413,21070,5438,14303,1329,40873,41278,-1,41276,5.6,22.5,21.3,50.8,94.3,0.7,1.8,0.8,0.3,2,20.2,76.5,82.8,7.3,13.3,85.7,24.5,3280,20.3,18338,73.1,8.7,193700,16586,2.44,22897,45718,16,1270,11253,5.8,3557,5538,0,0,0,0,5.1,29.7,218197,0,610875,15484,51053,89,2240.7,18.4,0.6788324632178453,0.636923719521746,17.247315353717507
8087,Morgan County,CO,10234,3813,6272,149,10478,3761,6461,256,11888,3128,8104,656,28328,28159,0.6,28159,7.6,26.4,15.4,50.2,92.8,3.1,1.6,0.7,0.3,1.5,35.3,60.1,80.6,12.6,26.5,78.8,15.1,1638,16.5,11474,63.5,14.8,137000,10446,2.65,20680,43774,13.3,667,8794,-2.3,1701,2137,0,0,0,0,7.9,24.1,0,0,232820,8450,27652,20,1280.43,22,0.6816958277254375,0.612859097127223,29.209183673469386
8089,Otero County,CO,8064,3546,4393,125,8039,3566,4315,158,5038,1719,2988,331,18488,18831,-1.8,18831,6.5,24.3,19,50.4,91.4,1.2,3.6,0.9,0.2,2.7,41,55.4,85.2,4.1,18.5,83,15.5,1615,17.5,8881,64.7,13.1,91800,7427,2.45,19078,33848,25.2,442,4256,-4.9,1008,1586,0,0,0,0,12.1,37.3,0,59844,171450,9166,20313,2,1261.96,14.9,0.593092497022628,0.5447668650793651,-31.98269974960164
8091,Ouray County,CO,3060,1636,1367,57,3183,1640,1470,73,3287,1690,1337,260,4629,4434,4.4,4436,3.4,17,24.6,50.9,96.8,0.2,0.5,0.6,0.1,1.8,5.5,91.9,79.8,2.9,6.4,98.4,47.5,551,22.8,3151,75.4,10.6,383900,1943,2.3,33015,64601,5.6,263,963,4,873,1117,0,0,0,0,0,26.5,0,1022,26977,6131,21247,33,541.59,8.2,0.40675387891694553,0.4467320261437909,-2.194586686174105
8093,Park County,CO,9383,4250,4896,237,9054,3721,5085,248,10245,3351,6053,841,16345,16201,0.9,16206,3.7,16.7,16.2,47.3,94.6,0.6,1.3,1.1,0,2.3,6.2,89.5,87,3.4,3.8,95.6,32,1992,44.2,14171,88.5,1.2,247300,7038,2.27,31504,61570,9.1,434,1196,2.3,1720,2313,0,0,0,0,0,28,0,3435,55409,3266,11083,88,2193.85,7.4,0.5908247925817472,0.5217947351593307,23.63153594771241
8095,Phillips County,CO,2260,622,1612,26,2265,588,1637,40,2332,436,1791,105,4363,4442,-1.8,4442,6.1,24,20.8,50.4,96.1,1,0.8,0.6,0.1,1.4,20.6,76.6,78.4,12.2,19.8,85.6,16.8,343,13.9,2088,69.2,8.3,132700,1668,2.59,20720,43011,19.9,135,909,-9.4,413,324,0,0,0,0,0,27.5,0,150858,45616,10207,1880,9,687.93,6.5,0.7680102915951973,0.7132743362831858,11.10421836228288
8097,Pitkin County,CO,9966,7349,2484,133,9779,6648,2941,190,10387,7239,2522,626,17626,17148,2.8,17148,3.7,16.3,15.6,47.6,95.7,0.8,0.5,1.4,0.1,1.5,9.9,86.5,84.2,12.2,16.5,96,56.8,950,17,13039,68.7,38.8,611200,7507,2.27,51814,72745,10.1,1559,16314,3.1,3528,5100,0,0,0,0,2.9,26.5,0,64678,399540,26461,270848,98,970.7,17.7,0.2428035043804756,0.24924744130042142,1.5297906602254496
8099,Prowers County,CO,4615,1487,3043,85,4809,1498,3200,111,4978,1173,3508,297,12034,12551,-4.1,12551,6.9,26.2,16.1,49.9,95.3,0.8,1.8,0.4,0,1.7,36.4,61,80.7,12.5,26.1,79.2,14.1,1010,14.4,5885,65.8,15.2,86100,4935,2.45,18941,34391,23.3,340,2901,1.4,833,1328,0,0,0,0,0,13.2,0,81975,146970,11300,16282,1,1638.4,7.7,0.7047006830052229,0.6593716143011917,15.280972724285235
8101,Pueblo County,CO,72427,41097,30257,1073,73306,40624,31023,1659,60112,27945,27746,4421,161875,159063,1.8,159063,6,23.2,17.1,50.7,90.8,2.5,3,1,0.2,2.5,42.5,52.9,82.1,4,14.6,87.1,21.5,15351,20.4,70054,65.7,15,138700,62439,2.49,21940,41777,19.1,3036,46754,1.4,7860,10232,0.6,1.5,1.7,0,17.1,29.1,1705822,431008,1864599,12080,220852,157,2386.1,66.7,0.4615717327655044,0.41775857069877254,-8.298906038272136
8103,Rio Blanco County,CO,3147,655,2437,55,3311,561,2677,73,3436,433,2782,221,6707,6666,0.6,6666,6.8,24.6,13.7,48.1,94.2,1.1,1.5,0.5,0.1,2.4,11.1,84.1,78.9,6.8,10,91.3,23.1,556,19.6,3346,68.8,16.7,200400,2638,2.24,27586,60128,14.9,229,2131,1.2,576,825,0,0,0,0,0,30.7,0,0,54732,8831,11303,10,3220.93,2.1,0.8096623981373691,0.7743883063234827,14.156750102585146
8105,Rio Grande County,CO,5444,2448,2930,66,5453,2428,2892,133,5488,1985,3060,443,11607,11982,-3.1,11982,6.3,23.9,18.6,50.1,93.4,0.7,3.3,0.5,0,2,44.2,53,83.3,7,25,84.1,20.3,1000,19,6617,67.4,10.1,129500,4722,2.46,20557,38993,19.2,348,2646,1.8,1017,1791,0,0,0,0,16.1,24.6,0,218177,110165,9480,14191,12,911.96,13.1,0.5575801749271136,0.5382072005878031,4.436860068259385
8107,Routt County,CO,13199,8270,4725,204,13038,7389,5361,288,13772,7487,5149,1136,23865,23509,1.5,23509,4.4,19.2,12.3,47.6,96.4,0.6,0.6,0.8,0.1,1.5,7,90.1,81.3,3.5,4.7,96.9,48,1171,17.3,16387,70.6,33,390100,9647,2.38,34873,62002,9.1,1592,16630,-7.3,3543,4913,0,0.5,0,0,0,20.3,0,187821,421473,18866,184368,132,2362.03,10,0.3738745280278827,0.35798166527767256,8.973544973544968
8109,Saguache County,CO,2747,1730,953,64,2796,1762,937,97,2707,1345,1109,253,6196,6108,1.4,6108,6.4,22.5,18.9,49.5,92.7,0.8,3,0.9,0,2.7,38.3,57.4,87.4,11,34.7,78,23.8,521,19,3930,66.9,5.4,135400,2692,2.29,20726,34600,24.7,117,799,4.6,576,501,0,0,0,0,0,0,0,57075,20857,3039,0,32,3168.53,1.9,0.4096786110084965,0.346923917000364,16.36935991605457
8111,San Juan County,CO,496,264,218,14,506,266,212,28,506,265,215,26,720,699,3,699,2.1,13.6,20.4,43.1,94.9,0.1,1,1.3,0,2.8,14.2,82.1,83,3.2,5.6,94.4,24.8,60,11.9,757,59.8,31.7,242300,321,2.05,24711,39583,17.1,68,203,-8.6,106,0,0,0,0,0,0,0,0,0,6624,11540,5079,0,387.49,1.8,0.424901185770751,0.43951612903225806,-1.3761467889908285
8113,San Miguel County,CO,4350,3349,933,68,4215,2961,1144,110,4311,2960,1030,321,7840,7359,6.5,7359,4.7,18.9,10.4,46.9,95.3,0.7,1.4,0.9,0.1,1.6,9.6,87.1,78.8,8.4,10,96.1,53.5,396,19.3,6736,64.4,41.7,448000,3234,2.31,40827,63594,10.6,614,4430,3.2,1660,2294,0,0,0,0,3.1,23.3,0,0,97815,13114,77135,36,1286.61,5.7,0.23892368360009278,0.21448275862068966,10.396570203644151
8115,Sedgwick County,CO,1351,468,857,26,1337,419,881,37,1364,267,1015,82,2348,2379,-1.3,2379,5.2,20.3,24.4,50,95.4,0.5,1,1.4,0,1.7,15.1,82.1,78.5,3.2,10.3,86.8,15,230,18.9,1408,68.6,12.9,81400,943,2.47,21536,40221,18.9,71,510,3.9,188,282,0,0,0,0,0,0,0,0,33331,14305,1697,1,548.04,4.3,0.7441348973607038,0.6343449296817173,18.436406067677957
8117,Summit County,CO,14899,9802,4883,214,15038,9169,5495,374,16061,9502,5064,1495,29404,27994,5,27994,4.6,16.3,10.8,45.9,95.4,1,1.1,1,0.1,1.4,14.7,82.3,79.2,11.9,15.2,95.7,47.7,1417,16.8,30405,65.9,56.5,460000,11138,2.48,34025,63697,13.7,2140,18614,2,4139,5751,0,0,0,0,0,27.5,0,0,641013,24434,281619,207,608.36,46,0.31529792665462925,0.3277401167863615,3.7067376612738068
8119,Teller County,CO,12906,4513,8146,247,12144,3894,7909,341,14203,3547,9580,1076,23389,23350,0.2,23350,3.8,18.5,18,49.1,94.7,0.7,1.2,0.9,0.1,2.4,6.2,89.6,89.9,2.4,5.1,93.6,31.6,3349,31.7,12742,81.4,5.3,226900,9434,2.44,31075,59040,7,673,5377,7.8,2388,3429,0,0,0,0,0,31,0,26287,169017,7771,128005,140,557.06,41.9,0.6745053861860171,0.631179296451263,17.60373189295359
8121,Washington County,CO,2513,529,1949,35,2567,461,2059,47,2708,289,2284,135,4780,4814,-0.7,4814,5.1,22,20.8,48.5,97,0.8,0.3,0.4,0.1,1.4,9.5,88,82.2,2.5,5.5,90.4,18.5,433,20.6,2414,73.3,7.2,110500,2019,2.27,24977,44683,13.1,105,524,2.5,371,265,0,0,0,0,0,0,0,42615,23053,5015,1542,5,2518.03,1.9,0.843426883308715,0.775567051333068,17.18830169317598
8123,Weld County,CO,105866,47292,56526,2048,112695,47418,62350,2927,133790,45869,75882,12039,277670,252837,9.8,252825,7.3,26.9,11.1,49.6,93.1,1.4,1.7,1.5,0.2,2.1,28.8,66.7,80.7,8.5,18.5,85.6,25.9,16805,26.2,100070,70.1,16.2,191500,90465,2.79,25468,57180,14.7,5376,71783,2.9,19020,23024,0.6,1.4,1.5,0,0,25.4,4193672,0,2246115,9272,217231,2708,3987.24,63.4,0.5671724344121384,0.5339391305990592,34.24264940027597
8125,Yuma County,CO,4483,1117,3286,80,4481,950,3433,98,4664,701,3755,208,10202,10043,1.6,10043,7.5,26.5,17.4,50,97.3,0.4,0.8,0.5,0.2,0.8,21.9,76.6,83.5,10.9,15.5,88,17.7,630,14.7,4429,67.4,9,136600,3811,2.61,22498,44308,8.2,370,2535,1.5,943,1031,0,0,0,0,0,0,0,193564,106085,11074,8777,3,2364.41,4.2,0.8051029159519726,0.7329913004684363,14.272671941570291
9001,Fairfield County,CT,413741,242936,167736,3069,390611,214757,172238,3616,410279,238723,155457,16099,945438,916828,3.1,916829,5.7,23.6,14.4,51.2,79.8,12.2,0.5,5.5,0.1,2,18.7,63.8,88.8,20.3,28.2,89,44.8,41615,28.2,364954,69,35.1,432100,332655,2.73,48721,82283,9.1,26972,403375,-0.5,88363,108910,4.7,0.4,3.3,0,5.9,28.6,20028377,78881637,15702222,17661,1861946,1889,624.89,1467.2,0.37890557401183095,0.40541304825966,-7.320432107597652
9003,Hartford County,CT,412728,268721,138984,5023,392485,244314,143648,4523,399219,233789,147912,17518,897985,894029,0.4,894014,5.4,21.7,15.6,51.5,76.8,15.2,0.5,5.1,0.1,2.3,17,63.4,87.5,14.9,24.6,88.1,34.9,52781,22.1,374695,65.5,38.4,241500,347874,2.49,34698,64967,11.6,22613,446375,1.2,56271,72906,6.3,0.5,3.9,0,4.1,25.9,15016177,15631406,13820736,15811,1637963,962,735.1,1216.2,0.37050340790393244,0.3367447810664651,6.423761008461404
9005,Litchfield County,CT,98966,51041,46173,1752,92404,43823,47207,1374,97434,39836,53376,4222,184993,189927,-2.6,189927,4.2,19.4,18.4,50.7,94.4,1.8,0.3,1.8,0.1,1.6,5.5,89.9,91.3,7.1,9.8,91.3,33.4,14785,26.5,87434,78.1,21,263600,75755,2.45,37667,71338,6.4,4782,51115,-1.1,16961,21435,1.6,0.6,1.5,0,1.1,28.5,0,0,2458157,13043,245161,145,920.56,206.3,0.5478169838044215,0.4665541701190308,15.600025989214483
9007,Middlesex County,CT,87252,52983,32918,1351,83447,47851,34533,1063,88402,45306,38847,4249,164943,165676,-0.4,165676,4.5,19.4,17.7,51.2,89.4,5.4,0.2,3,0.1,1.9,5.8,84.6,89.4,7.3,10.4,93.8,39.1,11973,25.2,75274,76.2,23,292000,66141,2.41,39992,76994,6.4,4147,60406,0.9,13156,15693,1.3,0.4,3.4,0.2,1.5,28,3336020,953882,2129195,12980,293408,228,369.3,448.6,0.4394357593719599,0.37727501948379405,18.011422322133797
9009,New Haven County,CT,382886,233589,144650,4647,371783,230040,137942,3801,375909,203601,158373,13935,861277,862474,-0.1,862477,5.3,21.1,15.6,51.8,78.8,14.2,0.5,4.2,0.1,2.2,16.8,65,88,11.7,21.4,88.3,32.9,51106,24,362262,63.7,40.2,256900,328013,2.54,32523,61996,12.4,19431,331081,1.6,57091,74477,5,0.5,3.7,0,4.4,28.2,10493031,9890749,11785336,13970,1345875,1140,604.51,1426.7,0.4213067524321046,0.3777886890614961,9.487037677151754
9011,New London County,CT,124874,74776,48491,1607,114043,66510,45715,1818,124527,62951,54574,7002,273676,274046,-0.1,274055,5.1,20.3,16,49.9,83.9,6.9,1.1,4.5,0.2,3.5,9.9,76.3,85.2,8.6,13.9,90.5,31.3,25314,22.8,121248,67.5,27.8,252900,107066,2.44,33782,66583,8.7,5698,103244,-1.5,15978,21733,2.1,0.9,2.8,0,2.6,28.2,0,0,3882978,14682,3444661,646,664.88,412.2,0.4382503392838501,0.38831942598138924,12.54459590439463
9013,Tolland County,CT,75501,45053,29266,1182,70780,39283,30391,1106,77069,38450,33989,4630,151367,152682,-0.9,152691,4,18.5,14,49.8,90.3,3.6,0.2,4.1,0.1,1.8,5,86.2,85.7,6.9,10.6,93,36.9,10916,25.8,58529,74.4,24.5,254800,54327,2.52,34392,80529,6.5,2398,30798,1.7,9190,11698,0,0,2.9,0,1.8,32.5,1021759,214311,1206302,8140,173091,203,410.21,372.2,0.4410203843309242,0.3876240049800665,16.13818082416456
9015,Windham County,CT,50844,28673,21210,961,46634,25953,19758,923,50703,21776,25738,3189,116998,118434,-1.2,118428,5.2,20.7,14.7,50.4,92.8,2.9,0.6,1.4,0.1,2.2,10.9,83.8,86.8,4.9,12.8,86.8,22.3,9457,26.3,49168,70.1,26.7,211100,44018,2.57,27893,59333,11.4,2092,29397,-1.6,6501,8491,0.9,0.8,1.9,0,0,24.4,1776526,546686,1180554,10120,136332,116,512.91,230.9,0.5076228231071139,0.4171583667689403,21.348420556341342
10001,Kent County,DE,66925,36392,29827,706,68669,35525,32134,1010,74253,33347,36989,3917,171987,162344,5.9,162310,6.5,23.6,15.6,51.8,68.3,25.2,0.7,2.3,0.1,3.4,6.9,63.3,86.3,5.3,8.9,85.2,21.4,18340,25.8,67874,72.3,13.3,199500,58524,2.74,24851,55149,12.9,3166,48071,0.4,9126,11242,10.4,0.8,3.8,0,2.5,26.2,2361835,0,2589237,17024,447861,998,586.18,276.9,0.49814822296742217,0.4456779977586851,24.011801388004162
10003,New Castle County,DE,256417,178768,74608,3041,251960,167051,81226,3683,261468,162905,85507,13056,552778,538477,2.7,538479,6.1,22.2,13.8,51.6,67.1,24.9,0.4,5.2,0.1,2.3,9.4,59.5,85.6,10,14.6,89.4,33.8,36340,24.8,220118,70,22.5,246300,200739,2.62,32406,64537,10.7,15452,270062,6.4,32974,43660,10.1,0,5.1,0,2.1,26.5,20268769,0,8633413,16358,999186,1908,426.29,1263.2,0.3270266342343996,0.2909635476586966,14.608352991636275
10005,Sussex County,DE,89070,40299,47939,832,93215,39971,52116,1128,105814,39329,62607,3878,210849,197115,7,197145,5.6,19.5,24.2,51.5,82.5,12.8,1.2,1.2,0.1,2.1,9.3,75,88,6.8,10.1,85.6,22.2,20401,24.2,129445,79,11.2,236600,76444,2.58,26908,52710,13.4,5343,61111,2.3,14761,20285,4.5,0.5,1.6,0,1.7,24.3,3049335,0,2979433,16103,463723,2288,936.08,210.6,0.591670289375697,0.538217132592343,30.597217296981572
11001,District of Columbia,DC,265853,245800,17367,2686,243348,222332,17337,3679,280272,260223,11553,8496,658893,601767,9.5,601723,6.5,17.5,11.3,52.6,43.6,49,0.6,4,0.2,2.6,10.4,35.8,80.6,13.8,15.8,88.4,52.4,30520,29.7,306174,42.1,62.3,445200,263649,2.2,45290,65830,18.6,21919,491130,1.7,52262,55887,28.2,0.9,5.9,0,6.1,34.5,332844,2117990,3843716,6555,4278171,4189,61.05,9856.6,0.04122067134783353,0.06532557465968035,-33.477284505095874
12001,Alachua County,FL,125519,75565,48513,1441,120318,69634,48765,1919,127827,75370,46584,5873,256380,247335,3.7,247336,5.6,18.1,12.5,51.7,70.6,20.5,0.3,5.9,0.1,2.6,9.1,62.6,74.2,10.7,13.8,91.2,40.5,17015,19.9,114060,54.1,37.4,167900,96043,2.43,24857,42149,24.9,5850,84425,2,16536,20676,7.8,0,3.8,0,6.7,31.6,0,0,3152244,13124,493980,762,875.02,282.7,0.36443004998943884,0.3864992550928545,-3.976253787644546
12003,Baker County,FL,11059,2327,8672,60,11366,2310,8974,82,12634,2112,10294,228,27093,27115,-0.1,27115,6.3,24.8,12.9,47.9,83.9,13.5,0.4,0.7,0,1.6,2.4,81.9,85.2,1,2.2,80.1,10,1979,29.4,9620,79.7,3.7,124300,8216,3.01,19852,49236,17.3,388,5150,0.6,1181,1727,0,0,0,0,0,26.2,0,0,180555,7052,19819,47,585.23,46.3,0.8147854994459395,0.7841576996111764,18.70387453874538
12005,Bay County,FL,81127,23653,56683,791,79834,22037,56863,934,87151,21689,62010,3452,178985,168852,6,168852,6.1,21.6,16.1,50.2,82.4,11.3,0.8,2.3,0.1,3.1,5.7,77.7,79.6,4.9,6.3,87,21.1,22243,21.3,100322,62.5,31.1,157600,67561,2.48,24498,47461,14.7,4380,56839,0.5,12463,15465,0,0,0,0.3,2.7,29,1254295,644966,2471968,15138,480359,601,758.46,222.6,0.7115236772957281,0.6986946392692939,9.397879434751166
12007,Bradford County,FL,11676,3430,8136,110,11631,3324,8216,91,12098,2924,8913,261,26702,28520,-6.4,28520,5.8,20.2,17.6,45.6,78.2,19.1,0.4,0.5,0.1,1.7,3.8,74.9,87.2,2.5,2.9,75.5,9.2,2741,27.1,10909,77.8,6.7,108000,8857,2.72,17749,40259,18.2,421,4067,-4.5,1161,2106,0,0,0,0,0,0,0,0,215629,7436,37088,2,293.96,97,0.7367333443544387,0.696813977389517,9.55014749262537
12009,Brevard County,FL,287859,127620,157589,2650,285504,122972,159270,3262,314337,119525,181620,13192,556885,543378,2.5,543376,4.6,18.7,22.6,51.2,83.8,10.7,0.5,2.4,0.1,2.5,9.3,75.8,85.4,8.7,10.1,90.2,26.3,68817,23.7,272297,73.5,23.1,144900,220277,2.44,27009,48039,13.5,13084,161218,-0.9,39045,45939,6.1,0.4,2.9,0,5.3,30.4,6767571,1852661,6593988,12339,855503,1286,1015.66,535,0.5777875337615361,0.5474520511778336,15.249160791679618
12011,Broward County,FL,733899,492640,237729,3530,755166,507430,243732,4004,822837,546956,258521,17360,1869235,1748148,6.9,1748066,5.8,21.5,15.3,51.4,64.9,28.9,0.4,3.7,0.1,2.1,27.5,39.8,83.3,31.5,37.8,87.8,29.9,92575,27.2,817277,65.9,47.8,181500,663458,2.67,28205,51251,14.3,57607,626529,1.2,225162,237524,16.4,0.5,3.7,0.1,22.1,29.8,7160772,31411627,30886257,17680,4209090,2462,1209.79,1444.9,0.314182517315094,0.32392604431944994,8.74609324062272
12013,Calhoun County,FL,6244,1821,4345,78,6152,1664,4366,122,6067,1236,4647,184,14532,14625,-0.6,14625,5.5,20.8,17.3,45.5,81.8,13.6,1.3,0.8,0.2,2.2,5.8,76.8,87.5,2.7,6,73.5,7.8,1598,28.8,5928,79,2.2,70000,4696,2.7,14675,32780,23.5,191,1729,1.6,767,1034,0,0,0,0,0,0,0,0,64750,4791,9289,8,567.33,25.8,0.7659469259930773,0.6958680333119796,6.950517836593795
12015,Charlotte County,FL,85158,39031,45205,922,84664,35896,47988,780,96323,33421,60196,2706,168474,159989,5.3,159978,3.1,13,37.7,51.3,90.5,6.2,0.3,1.4,0.1,1.5,6.7,84.7,84.1,9.7,11,88.8,21.2,24867,23.3,101365,79,19.6,143700,70545,2.24,26286,44378,12.6,3692,35239,3.3,11764,13987,0,0,0,0,0,26.4,0,211715,1898114,12072,178021,610,680.28,235.2,0.6249390072983607,0.5308367974823269,33.162260811857095
12017,Citrus County,FL,76158,31460,43706,992,73923,28453,44657,813,79590,22765,54377,2448,139377,141236,-1.3,141236,3.8,15,35.2,51.6,93.3,3.1,0.4,1.6,0,1.5,5.2,88.7,88,4.8,5.9,86,16.6,21097,25.9,77717,82.6,5.6,117400,60319,2.29,23148,39100,16.8,2665,26477,1.6,8790,12451,2.5,0,0,0,0,30.9,0,0,1405565,10051,109681,233,581.7,242.8,0.683213971604473,0.573885868851598,24.415412071569122
12019,Clay County,FL,94577,26697,67203,677,96549,25745,69996,808,106363,27768,74898,3697,199798,190865,4.7,190865,5.5,24.2,14.2,50.8,82.4,10.9,0.5,3.2,0.2,2.9,9.2,74.8,85.3,6.6,9.8,90.2,24,26014,32.1,77439,76.6,11.8,158600,67805,2.82,26577,59482,9.8,3596,36060,2.5,11616,15242,6.3,0,4.2,0,4.5,28.8,0,394349,2005718,10997,213775,915,604.36,315.8,0.7041734437727405,0.7105638791672394,11.45038167938932
12021,Collier County,FL,141988,54450,86379,1159,149080,51678,96508,894,170505,60941,105297,4267,348777,321520,8.5,321520,4.8,18.3,29.4,50.8,89.7,7.2,0.5,1.4,0.1,1.1,26.7,64.3,84.8,22.9,31.6,85.8,31.7,30603,23.6,203070,74.1,48.6,261300,122972,2.64,36439,55843,14.1,10622,108607,2,34947,38309,3.3,0,1.8,0,15.5,26.8,606697,1649037,5186468,16546,1037152,3610,1998.32,160.9,0.6175596023577021,0.6083542271177846,21.901156531101318
